name, transfer_to_dpu, dpu_run, transfer_from_dpu, final_combine, total
histogram_small, 1504.500000, 60368.400000, 975.370000, 1422.670000, 64270.940000
vector_add, 7542.830000, 64916.700000, 2180.950000, 3.950000, 74644.430000
sum_reduce, 1695.100000, 24136.060000, 991.370000, 483.540000, 27306.070000
maxima, 1331.720000, 586601.480000, 1050.480000, 607.690000, 589591.370000
map_only, 3175.820000, 231722.090000, 1894.340000, 0.850000, 236793.100000
prime_sieve, 4950.830000, 4148077.680000, 991.010000, 1505.260000, 4155524.780000
filter_multiples, 5625.600000, 1075252.840000, 1002.780000, 1244.840000, 1083126.060000
histogram_large, 1517.550000, 162001.830000, 1036.930000, 1207.660000, 165763.970000
dedup, 5073.970000, 5986692.000000, 1836.120000, 0.770000, 5993602.860000
combine_add, 2744.130000, 58421.710000, 1199.500000, 596.090000, 62961.430000
